Date,Open,High,Low,Close,Adj Close,Volume,Log RS,Log N,Adj Close Relative Value
1986-04-01,0.095486,0.121962,0.092882,0.111979,0.070824,547142400,1.0654326706253352,2.302585092994046,1.0
1986-05-01,0.111979,0.123264,0.107639,0.121528,0.076864,333446400,1.1163397737700025,2.3978952727983707,1.08528
1986-06-01,0.121528,0.121528,0.102431,0.106771,0.06753,293788800,1.1419661956605855,2.4849066497880004,0.87856
1986-07-01,0.106771,0.109375,0.090278,0.098958,0.062589,460800000,1.1741194692942867,2.5649493574615367,0.92683
1986-08-01,0.098958,0.106771,0.094618,0.098958,0.062589,266256000,1.2000178129220462,2.6390573296152584,1.0
1986-09-01,0.098958,0.109375,0.091146,0.09809,0.06204,285120000,1.271650539011648,2.70805020110221,0.99123
1986-10-01,0.09809,0.139757,0.095486,0.134549,0.085099,1565712000,1.2999940628806368,2.772588722239781,1.37168
1986-11-01,0.135417,0.177951,0.135417,0.172743,0.109256,1053964800,1.301472936916288,2.833213344056216,1.28387
1986-12-01,0.172743,0.173611,0.157118,0.167535,0.105962,721526400,1.3837622067853608,2.8903717578961645,0.96985
1987-01-01,0.167535,0.269097,0.164931,0.253906,0.16059,1961596800,1.4299375243013905,2.9444389791664403,1.51554
1987-02-01,0.253906,0.276042,0.230903,0.266493,0.168551,1834272000,1.4453811410135857,2.995732273553991,1.04957
1987-03-01,0.266493,0.34375,0.255208,0.335938,0.212473,1783324800,1.4693809946876415,3.044522437723423,1.26059
1987-04-01,0.335938,0.378472,0.314236,0.361111,0.228394,2118585600,1.5379622021977333,3.091042453358316,1.07493
1987-05-01,0.361111,0.445313,0.356771,0.400174,0.253101,2192054400,1.469519728179896,3.1354942159291497,1.10818
1987-06-01,0.400174,0.400174,0.334201,0.354167,0.224002,1729353600,1.5321422284231885,3.1780538303479458,0.88503
1987-07-01,0.353299,0.367188,0.307292,0.326389,0.206433,1813536000,1.6125721489325477,3.2188758248682006,0.92157
1987-08-01,0.326389,0.421007,0.31684,0.412326,0.260787,2034921600,1.6133501432624038,3.258096538021482,1.2633
1987-09-01,0.409722,0.462674,0.368056,0.460069,0.290983,1554912000,1.6562563167981013,3.295836866004329,1.11579
1987-10-01,0.460069,0.550347,0.258681,0.345486,0.218512,3567225600,1.6788816210667397,3.332204510175204,0.75094
1987-11-01,0.342014,0.361111,0.28125,0.310764,0.196551,1550188800,1.6721358112025708,3.367295829986474,0.8995
