Date,Open,High,Low,Close,Adj Close,Volume,Log RS,Log N,Adj Close Relative Value
1987-01-01,0.167535,0.269097,0.164931,0.253906,0.16059,1961596800,1.2191589623082117,2.302585092994046,1.51554
1988-01-01,0.380208,0.428819,0.364583,0.387153,0.244865,1966795200,1.095887266182835,2.3978952727983707,1.52478
1989-01-01,0.371528,0.418403,0.348958,0.414063,0.261885,1375084800,1.2428361599884616,2.4849066497880004,1.06951
1990-01-01,0.605903,0.666667,0.583333,0.642361,0.406278,2380968000,1.1281146689107666,2.5649493574615367,1.55136
1991-01-01,1.041667,1.381944,1.013889,1.362847,0.861969,2219774400,1.184008392183634,2.6390573296152584,2.12162
1992-01-01,2.307292,2.776042,2.28125,2.505208,1.584486,1468929600,1.2632487157755894,2.70805020110221,1.83822
1993-01-01,2.65625,2.9375,2.640625,2.703125,1.709664,1411331200,1.4210910799677976,2.772588722239781,1.079
1994-01-01,2.515625,2.71875,2.476563,2.660156,1.682487,1233651200,1.50919265668184,2.833213344056216,0.9841
1995-01-01,3.84375,4.078125,3.640625,3.710938,2.347082,1111609600,2.5785934492367626,4.74493212836325,1.39501
1996-01-01,5.492188,5.828125,4.992188,5.78125,3.656506,2056616000,2.607539230295016,4.844187086458591,1.55789
1997-01-01,10.390625,12.90625,10.09375,12.75,8.064075,1565781600,2.560784782970287,4.934473933130692,2.2054
1998-01-01,16.203125,18.765625,15.546875,18.648438,11.794702,1486108000,2.478502257284611,5.017279836814924,1.46262
1999-01-01,34.902344,43.78125,34.0,43.75,27.670849,1472518800,2.4430033735454693,5.093750200806762,2.34604
2000-01-01,58.6875,59.3125,47.4375,48.9375,30.951826,1274875200,2.4724782712900506,5.1647859739235145,1.11857
2001-01-01,22.0625,32.375,21.4375,30.53125,19.310303,2005531200,2.629350353117636,5.231108616854587,0.62388
2002-01-01,33.325001,35.310001,30.665001,31.855,20.147547,1360115800,2.7897336785063893,5.293304824724492,1.04336
2003-01-01,26.15,28.66,23.514999,23.73,15.008674,1718662200,,,0.74494
2004-01-01,27.58,28.83,27.26,27.65,17.642635,1232189000,,,1.1755
2005-01-01,26.799999,27.1,25.639999,26.280001,18.744286,1521414300,,,1.06244
2006-01-01,26.25,28.379999,26.1,28.15,20.323227,1388622700,,,1.08424
2007-01-01,29.91,31.48,29.4,30.860001,22.602062,1324518200,,,1.11213
2008-01-01,35.790001,35.959999,31.040001,32.599998,24.20085,1950301600,,,1.07074
2009-01-01,19.530001,21.0,16.75,17.1,12.92856,1564043400,,,0.53422
2010-01-01,30.620001,31.24,27.66,28.18,21.805328,1359650900,,,1.6866
2011-01-01,28.049999,29.459999,27.42,27.73,21.904013,1361258700,,,1.00453
2012-01-01,26.549999,29.950001,26.389999,29.530001,23.945547,1354858100,,,1.0932
2013-01-01,27.25,28.23,26.280001,27.450001,22.888401,1145054400,,,0.95585
2014-01-01,37.349998,37.889999,34.630001,37.84,32.506523,930226200,,,1.42022
2015-01-01,46.66,47.91,40.349998,40.400002,35.656033,918966800,,,1.09689
2016-01-01,54.32,55.389999,49.099998,55.09,49.944698,927914700,,,1.40074
2017-01-01,62.790001,65.910004,61.950001,64.650002,60.220131,493453500,,,1.20574
2018-01-01,86.129997,95.449997,85.5,95.010002,90.475929,574258400,,,1.50242
2019-01-01,99.550003,107.900002,97.199997,104.43,101.167923,714212800,,,1.11818
2020-01-01,151.809998,159.550003,146.649994,157.699997,155.032837,450303300,,,1.53243
